Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,PTS,FG%,Dist.,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P
1996-1997,Mahmoud Abdul-Rauf\abdulma02,PG,27,SAC,75,51,28.4,5.5,12.3,1.3,3.3,4.2,9,1.5,1.8,0.846,13.7,0.445,18.1,0.734,0.067,0.026,0.133,0.508,0.266,0.468,0.484,0.375,0.423,0.482,0.382
1996-1997,Shareef Abdur-Rahim\abdursh01,PF,20,VAN,80,71,35,6.9,15.2,0.1,0.3,6.8,14.8,4.8,6.5,0.746,18.7,0.453,9.7,0.978,0.495,0.19,0.144,0.148,0.022,0.457,0.529,0.42,0.354,0.367,0.259
1996-1997,Rafael Addison\addisra01,SF,32,CHH,41,3,8.7,1.2,3,0.2,0.5,1,2.5,0.5,0.7,0.786,3.1,0.402,15,0.836,0.287,0.074,0.123,0.352,0.164,0.402,0.343,0.111,0.467,0.488,0.4
1996-1997,Cory Alexander\alexaco01,PG,23,SAS,80,6,18.2,2.4,6.1,1.2,3.2,1.3,3,1.2,1.6,0.736,7.2,0.396,17.8,0.486,0.224,0.047,0.055,0.159,0.514,0.42,0.418,0.565,0.185,0.462,0.373
1996-1997,Jerome Allen\allenje01,SG,24,TOT,76,1,12.4,1,2.9,0.4,1.2,0.6,1.7,0.6,0.9,0.583,3,0.353,15.7,0.579,0.344,0.086,0.054,0.09,0.421,0.375,0.447,0.211,0.333,0.25,0.323
1996-1997,Ray Allen*\allenra02,SG,21,MIL,82,81,30.9,4.8,11.1,1.4,3.6,3.3,7.4,2.5,3,0.823,13.4,0.43,15.2,0.672,0.251,0.098,0.189,0.133,0.328,0.448,0.474,0.461,0.413,0.438,0.393
1996-1997,Derrick Alston\alstode01,C,24,ATL,2,0,5.5,0,2.5,0,0,0,2.5,0,1,0,0,0,11.1,1,0.6,0.2,0.2,0,0,0,0,0,0,0,0
1996-1997,Ashraf Amaya\amayaas01,PF,25,WSB,31,0,4.6,0.4,1.3,0,0,0.4,1.3,0.5,0.9,0.536,1.3,0.3,10.3,0.975,0.625,0.1,0.225,0.025,0.025,0.282,0.36,0.5,0,0,1
1996-1997,Greg Anderson\andergr01,C,32,SAS,82,48,20.2,1.6,3.2,0,0,1.6,3.2,0.8,1.1,0.667,3.9,0.496,7,0.996,0.824,0.149,0.023,0,0.004,0.498,0.5,0.513,0.333,0,0
1996-1997,Kenny Anderson\anderke01,PG,26,POR,82,81,37.6,5.9,13.9,1.6,4.5,4.3,9.4,4.1,5.3,0.768,17.5,0.427,13.8,0.678,0.373,0.087,0.106,0.112,0.322,0.458,0.521,0.303,0.364,0.457,0.361
1996-1997,Nick Anderson\anderni01,SG,29,ORL,63,61,34.3,4.6,11.5,2.3,6.4,2.3,5.1,0.6,1.5,0.404,12,0.397,17.1,0.441,0.157,0.124,0.084,0.076,0.559,0.453,0.553,0.4,0.311,0.491,0.353
1996-1997,Shandon Anderson\andersh01,SG,23,UTA,65,0,16.4,2.3,4.9,0.4,0.7,1.9,4.2,1,1.5,0.687,5.9,0.462,11,0.852,0.478,0.151,0.119,0.104,0.148,0.454,0.539,0.417,0.263,0.333,0.511
1996-1997,Willie Anderson\anderwi01,SG,30,MIA,28,1,10.8,1,2.3,0.3,0.7,0.8,1.6,0.6,0.7,0.85,3,0.453,12.7,0.703,0.281,0.25,0.063,0.109,0.297,0.467,0.667,0.313,0.25,0.429,0.421
1996-1997,Greg Anthony\anthogr01,PG,29,VAN,65,44,28.7,3.1,7.8,1.4,3.7,1.7,4.1,2,2.7,0.73,9.5,0.393,16.9,0.531,0.272,0.028,0.107,0.124,0.469,0.413,0.486,0.5,0.259,0.365,0.37
1996-1997,B.J. Armstrong\armstbj01,PG,29,GSW,49,17,20.8,3,6.7,0.5,1.8,2.5,4.8,1.4,1.6,0.861,7.9,0.453,15.2,0.725,0.202,0.089,0.153,0.281,0.275,0.519,0.712,0.483,0.42,0.446,0.278
1996-1997,Darrell Armstrong\armstda01,PG,28,ORL,67,0,15.1,2,5.1,0.8,2.7,1.1,2.4,1.4,1.6,0.868,6.1,0.383,17.1,0.475,0.252,0.064,0.07,0.09,0.525,0.47,0.54,0.5,0.25,0.419,0.304
1996-1997,Vincent Askew\askewvi01,SG,30,TOT,43,0,19.5,1.9,4.3,0.2,0.6,1.7,3.8,1.6,2,0.795,5.6,0.435,11.9,0.871,0.371,0.194,0.145,0.161,0.129,0.457,0.493,0.444,0.444,0.4,0.292
1996-1997,Keith Askins\askinke01,SF,29,MIA,78,30,22.7,1.8,4.1,0.9,2.2,0.9,1.9,0.5,0.7,0.672,4.9,0.433,17.7,0.461,0.182,0.085,0.034,0.16,0.539,0.469,0.586,0.259,0.273,0.49,0.401
1996-1997,Stacey Augmon\augmost01,SG,28,TOT,60,10,15.7,1.8,3.7,0,0,1.8,3.7,1.2,1.6,0.711,4.7,0.477,8.1,1,0.586,0.223,0.141,0.05,0,0.477,0.55,0.367,0.355,0.455,0
1996-1997,Isaac Austin\austiis01,C,27,MIA,82,17,22.9,3.9,7.8,0,0,3.9,7.8,1.8,2.8,0.664,9.7,0.502,8.3,0.995,0.424,0.279,0.213,0.08,0.005,0.505,0.638,0.393,0.382,0.51,0
1996-1997,Vin Baker\bakervi01,PF,25,MIL,78,78,40.5,8.1,16,0.2,0.7,7.9,15.3,4.6,6.7,0.687,21,0.505,9,0.957,0.472,0.221,0.172,0.093,0.043,0.515,0.608,0.46,0.335,0.509,0.278
1996-1997,Charles Barkley*\barklch01,PF,33,HOU,53,53,37.9,6.3,13.1,1.1,3.9,5.2,9.2,5.4,7.8,0.694,19.2,0.484,12.2,0.704,0.431,0.14,0.092,0.04,0.296,0.569,0.674,0.412,0.344,0.5,0.283
1996-1997,Dana Barros\barroda01,PG,29,BOS,24,8,29.5,4.6,10.5,1.8,4.4,2.8,6.2,1.5,1.8,0.86,12.5,0.435,16.9,0.585,0.324,0.047,0.036,0.182,0.415,0.453,0.329,0.333,0.556,0.674,0.41
1996-1997,Brent Barry\barrybr01,SG,25,LAC,59,0,18.5,2.6,6.4,0.9,2.9,1.7,3.5,1.3,1.6,0.817,7.5,0.409,16.8,0.544,0.227,0.079,0.087,0.15,0.456,0.481,0.5,0.5,0.424,0.474,0.324
1996-1997,Jon Barry\barryjo01,SG,27,ATL,58,8,16.6,1.7,4.2,0.8,2.1,0.9,2.1,0.6,0.8,0.804,4.9,0.407,18,0.496,0.199,0.045,0.081,0.171,0.504,0.426,0.408,0.364,0.35,0.5,0.387
1996-1997,Benoit Benjamin\benjabe01,C,32,TOR,4,3,11,1.3,3,0,0,1.3,3,0.8,1,0.75,3.3,0.417,9,1,0.667,0.167,0.167,0,0,0.417,0.375,0.5,0.5,0,0
1996-1997,Elmer Bennett\benneel01,PG,26,TOT,9,0,8.3,0.7,2.1,0.3,1,0.3,1.1,0.8,1.1,0.7,2.4,0.316,17.6,0.526,0.263,0,0.158,0.105,0.474,0.3,0.2,0,0.333,0.5,0.333
1996-1997,Travis Best\besttr01,PG,24,IND,76,46,27.2,3.6,8.2,0.8,2,2.9,6.1,2,2.6,0.756,9.9,0.442,15.1,0.75,0.279,0.06,0.132,0.279,0.25,0.467,0.532,0.405,0.402,0.445,0.368
1996-1997,Mookie Blaylock\blaylmo01,PG,29,ATL,78,78,39.2,6.4,14.9,2.8,7.7,3.6,7.1,1.7,2.2,0.753,17.4,0.432,17.8,0.479,0.213,0.04,0.06,0.167,0.521,0.505,0.595,0.391,0.319,0.482,0.366
1996-1997,Corie Blount\blounco01,PF,28,LAL,58,18,17.4,1.6,3.1,0,0.1,1.6,3,1,1.4,0.675,4.2,0.514,8.2,0.983,0.62,0.168,0.128,0.067,0.017,0.517,0.595,0.467,0.348,0.25,0.333
1996-1997,Muggsy Bogues\boguemu01,PG,32,CHH,65,65,28.9,3.1,6.8,0.9,2.2,2.2,4.6,0.8,1,0.844,8,0.46,16.3,0.675,0.26,0.029,0.124,0.262,0.325,0.482,0.313,0.308,0.473,0.672,0.417
1996-1997,Dexter Boney\boneyde01,SG,26,PHO,8,0,6,0.8,2.4,0.1,0.8,0.6,1.6,0.8,1,0.75,2.4,0.316,14.8,0.684,0.474,0.053,0.053,0.105,0.316,0.385,0.444,0,0,0.5,0.167
1996-1997,Melvin Booker\bookeme01,PG,24,TOT,21,4,20.5,2.2,5,0.6,1.8,1.6,3.2,0.9,1,0.9,5.8,0.438,15.5,0.648,0.324,0.076,0.086,0.171,0.352,0.5,0.559,0.25,0.667,0.444,0.324
1996-1997,Bruce Bowen\bowenbr01,SF,25,MIA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,Donnie Boyce\boycedo01,SG,23,ATL,22,2,7,1,2.9,0.1,0.7,0.9,2.1,0.5,1,0.5,2.5,0.333,13.6,0.746,0.429,0.095,0.063,0.159,0.254,0.404,0.481,0.167,0.5,0.3,0.125
1996-1997,Shawn Bradley\bradlsh01,C,24,TOT,73,70,31.3,5.6,12.4,0,0.1,5.6,12.3,2,3.1,0.654,13.2,0.449,10,0.991,0.25,0.299,0.308,0.134,0.009,0.453,0.54,0.417,0.391,0.512,0
1996-1997,Mark Bradtke\bradtma01,C,28,PHI,36,0,7,0.7,1.6,0,0,0.7,1.6,0.3,0.4,0.692,1.6,0.431,9,1,0.672,0.121,0.103,0.103,0,0.431,0.41,0.857,0.5,0,0
1996-1997,Terrell Brandon\brandte01,PG,26,CLE,78,78,36.8,7.4,16.8,1.3,3.5,6.1,13.4,3.4,3.8,0.902,19.5,0.438,15.6,0.794,0.158,0.065,0.208,0.363,0.206,0.455,0.556,0.365,0.377,0.472,0.373
1996-1997,Frank Brickowski\brickfr01,PF,37,BOS,17,2,15,1.9,4.3,0.4,1.2,1.5,3.1,0.6,0.8,0.714,4.8,0.438,14.7,0.726,0.274,0.178,0.068,0.205,0.274,0.472,0.4,0.615,0.6,0.4,0.35
1996-1997,Scott Brooks\brooksc01,PG,31,NYK,38,0,6.6,0.5,1,0.1,0.3,0.4,0.7,0.4,0.4,0.933,1.5,0.487,15.9,0.692,0.205,0.128,0.128,0.231,0.308,0.519,0.5,0.6,0.6,0.444,0.417
1996-1997,Chucky Brown\brownch01,SF,28,TOT,70,1,10.8,1.1,2.2,0,0.1,1.1,2.1,0.7,1,0.671,2.9,0.506,9.9,0.961,0.357,0.195,0.221,0.188,0.039,0.52,0.691,0.5,0.382,0.379,0.167
1996-1997,Dee Brown\brownde01,PG,28,BOS,21,2,24.9,2.9,7.9,1,3.1,2,4.8,0.9,1,0.818,7.6,0.367,17.1,0.608,0.289,0.012,0.066,0.241,0.392,0.406,0.354,0.5,0.364,0.475,0.308
1996-1997,Marcus Brown\brownma01,PG,22,POR,21,0,8.8,1.3,3.3,0.6,1.5,0.7,1.8,0.6,0.9,0.684,3.9,0.4,15.8,0.543,0.314,0.114,0.071,0.043,0.457,0.395,0.364,0.75,0.2,0,0.406
1996-1997,Mike Brown\brownmi01,C,33,PHO,6,1,13.8,0.8,2,0,0,0.8,2,1,1.7,0.6,2.7,0.417,10,1,0.667,0.167,0.083,0.083,0,0.417,0.375,1,0,0,0
1996-1997,P.J. Brown\brownpj01,PF,27,MIA,80,71,32.4,3.8,8.2,0,0,3.8,8.2,2,2.8,0.732,9.5,0.457,8.8,0.997,0.357,0.299,0.253,0.088,0.003,0.459,0.577,0.378,0.373,0.5,0
1996-1997,Randy Brown\brownra02,PG,28,CHI,72,3,14.7,1.9,4.6,0.1,0.3,1.9,4.3,0.8,1.2,0.679,4.7,0.42,12.8,0.934,0.372,0.036,0.201,0.324,0.066,0.437,0.516,0.333,0.358,0.407,0.182
1996-1997,Kobe Bryant*\bryanko01,SF,18,LAL,71,6,15.5,2.5,5.9,0.7,1.9,1.8,4,1.9,2.3,0.819,7.6,0.417,14.5,0.678,0.365,0.09,0.104,0.118,0.322,0.437,0.487,0.395,0.273,0.46,0.375
1996-1997,Mark Bryant\bryanma01,PF,31,PHO,41,18,24.8,3.7,6.7,0,0,3.7,6.7,1.9,2.6,0.704,9.3,0.553,7.4,1,0.342,0.502,0.135,0.022,0,0.553,0.574,0.529,0.568,0.667,0
1996-1997,Jud Buechler\buechju01,SF,28,CHI,76,0,9.3,0.8,2.1,0.2,0.7,0.5,1.4,0.1,0.2,0.357,1.8,0.367,16.3,0.658,0.222,0.07,0.07,0.297,0.342,0.385,0.429,0.727,0.364,0.277,0.333
1996-1997,Matt Bullard\bullama01,PF,29,HOU,71,12,14.4,1.6,4,0.9,2.6,0.7,1.4,0.4,0.5,0.735,4.5,0.401,18.9,0.356,0.12,0.049,0.099,0.088,0.644,0.465,0.618,0.571,0.214,0.48,0.366
1996-1997,Scott Burrell\burresc01,SF,26,TOT,57,2,16.5,1.7,4.8,0.7,2,1,2.7,1,1.3,0.75,5.2,0.362,16,0.572,0.325,0.055,0.041,0.155,0.428,0.368,0.375,0.333,0.273,0.405,0.353
1996-1997,Willie Burton\burtowi01,SF,28,ATL,24,2,15.8,1.6,4.8,0.5,1.9,1.1,2.9,2.4,2.8,0.838,6.2,0.336,14.2,0.603,0.371,0.103,0.052,0.078,0.397,0.371,0.372,0.333,0.167,0.556,0.283
1996-1997,Mitchell Butler\butlemi02,SG,26,POR,49,1,9.5,1.1,2.6,0.2,0.8,0.8,1.8,0.7,1,0.64,3,0.416,14,0.688,0.384,0.12,0.072,0.112,0.312,0.465,0.479,0.333,0.556,0.5,0.308
1996-1997,Jason Caffey\caffeja01,PF,23,CHI,75,19,18.7,2.7,5.1,0,0,2.7,5.1,1.9,2.8,0.659,7.3,0.532,7.9,0.997,0.577,0.192,0.174,0.055,0.003,0.534,0.617,0.432,0.418,0.381,0
1996-1997,Michael Cage\cagemi01,C,35,PHI,82,24,15.2,0.8,1.7,0,0,0.8,1.7,0.2,0.5,0.463,1.8,0.468,10,1,0.461,0.135,0.227,0.177,0,0.468,0.554,0.474,0.313,0.44,0
1996-1997,Adrian Caldwell\caldwad01,PF,30,TOT,45,0,12.6,0.9,2,0,0,0.9,2,0.5,1.1,0.42,2.2,0.435,7.9,0.978,0.598,0.315,0.033,0.033,0.022,0.444,0.545,0.31,0,0.333,0
1996-1997,Marcus Camby\cambyma01,C,22,TOR,63,38,30.1,6,12.3,0,0.2,5.9,12.1,2.9,4.2,0.693,14.8,0.482,9,0.982,0.492,0.172,0.21,0.108,0.018,0.488,0.64,0.358,0.307,0.357,0.143
1996-1997,Elden Campbell\campbel01,PF,28,LAL,77,77,32.7,5.7,12.2,0,0.1,5.7,12.2,3.4,4.8,0.711,14.9,0.469,8.1,0.996,0.446,0.338,0.195,0.017,0.004,0.47,0.521,0.434,0.424,0.375,0.25
1996-1997,Antoine Carr\carran01,PF,35,UTA,82,0,17.8,3.1,6.4,0,0,3.1,6.3,1.2,1.5,0.78,7.4,0.483,11,0.994,0.236,0.255,0.228,0.274,0.006,0.486,0.537,0.481,0.395,0.517,0
1996-1997,Chris Carr\carrch01,SG,22,MIN,55,10,15.1,2.3,4.9,0.6,1.6,1.7,3.3,1,1.3,0.767,6.1,0.461,13.8,0.675,0.258,0.114,0.214,0.089,0.325,0.514,0.629,0.581,0.466,0.208,0.352
1996-1997,Jimmy Carruth\carruji01,PF,27,MIL,4,0,5.3,0.5,0.8,0,0,0.5,0.8,0.3,0.3,1,1.3,0.667,6.4,1,0.333,0.667,0,0,0,0.667,1,0.5,0,0,0
1996-1997,Sam Cassell\cassesa01,PG,27,TOT,61,44,28.1,5.5,12.8,1.3,3.8,4.2,9,3.5,4.1,0.845,15.9,0.43,14.5,0.705,0.25,0.102,0.189,0.163,0.295,0.464,0.597,0.275,0.412,0.438,0.351
1996-1997,Duane Causwell\causwdu01,C,28,SAC,46,8,12.6,1,2,0,0.1,1,2,0.4,0.8,0.541,2.6,0.511,9.1,0.968,0.426,0.223,0.277,0.043,0.032,0.505,0.625,0.333,0.423,0.75,0.667
1996-1997,Cedric Ceballos\cebalce01,SF,27,TOT,50,40,28.5,5.6,12.3,0.5,2,5.1,10.3,2.8,3.7,0.747,14.6,0.457,11.1,0.835,0.549,0.071,0.099,0.115,0.165,0.497,0.575,0.364,0.295,0.38,0.255
1996-1997,Tom Chambers\chambto01,PF,37,CHH,12,5,6.9,0.6,2.6,0.2,0.3,0.4,2.3,0.3,0.3,0.75,1.6,0.226,12.2,0.903,0.581,0.065,0.129,0.129,0.097,0.179,0.167,0,0.25,0.25,0.667
1996-1997,Rex Chapman\chapmre01,SG,29,PHO,65,33,28.2,5.1,11.5,1.7,4.8,3.4,6.7,1.9,2.3,0.832,13.8,0.443,17,0.581,0.15,0.072,0.151,0.208,0.419,0.51,0.554,0.556,0.522,0.455,0.35
1996-1997,Calbert Cheaney\cheanca01,SG,25,WSB,79,79,30.5,4.7,9.2,0.1,0.4,4.6,8.9,1.2,1.7,0.693,10.6,0.505,11.7,0.959,0.333,0.126,0.225,0.275,0.041,0.521,0.613,0.543,0.415,0.488,0.133
1996-1997,Pete Chilcutt\chilcpe01,PF,28,VAN,54,1,12.3,1.3,3.1,0.5,1.3,0.9,1.8,0.2,0.4,0.591,3.4,0.436,16.3,0.582,0.206,0.085,0.115,0.176,0.418,0.49,0.559,0.571,0.263,0.517,0.362
1996-1997,Randolph Childress\childra01,PG,24,TOT,23,0,6.7,0.6,1.7,0.2,0.8,0.4,0.9,0.3,0.3,0.75,1.7,0.35,16.9,0.525,0.2,0.05,0.175,0.1,0.475,0.429,0.5,0.5,0.286,0.5,0.263
1996-1997,Chris Childs\childch01,PG,29,NYK,65,61,31.9,3.2,7.8,1.1,2.8,2.2,5.1,1.7,2.3,0.758,9.3,0.414,16.5,0.645,0.275,0.041,0.11,0.22,0.355,0.429,0.457,0.429,0.25,0.482,0.387
1996-1997,Doug Christie\chrisdo01,SG,26,TOR,81,81,38.6,4.9,11.7,1.8,4.7,3.1,7,2.9,3.8,0.775,14.5,0.417,15,0.596,0.314,0.085,0.116,0.081,0.404,0.44,0.567,0.296,0.264,0.351,0.384
1996-1997,Derrick Coleman\colemde01,PF,29,PHI,57,54,36.9,6.4,14.7,0.6,2.1,5.8,12.6,4.8,6.4,0.745,18.1,0.435,11.2,0.858,0.347,0.196,0.219,0.096,0.142,0.463,0.552,0.482,0.344,0.375,0.269
1996-1997,Bimbo Coles\colesbi01,PG,28,GSW,51,13,23.2,2.4,6.2,0.6,2,1.8,4.2,0.7,1,0.755,6.1,0.389,14.9,0.675,0.274,0.115,0.121,0.166,0.325,0.434,0.547,0.361,0.316,0.385,0.294
1996-1997,Marty Conlon\conloma01,C,29,BOS,74,15,21.8,2.9,6.1,0,0.1,2.9,6,1.9,2.3,0.842,7.8,0.471,11.7,0.978,0.54,0.046,0.123,0.269,0.022,0.477,0.412,0.476,0.482,0.607,0.2
1996-1997,Tyrone Corbin\corbity01,SF,34,ATL,70,65,32.9,3.6,8.6,1.1,3,2.6,5.6,1.2,1.5,0.796,9.5,0.422,16.5,0.653,0.235,0.037,0.09,0.292,0.347,0.457,0.504,0.455,0.296,0.469,0.356
1996-1997,Joe Courtney\courtjo01,PF,27,TOT,9,0,11.1,1.2,3.3,0,0,1.2,3.3,0.3,0.6,0.6,2.8,0.367,11.7,1,0.233,0.2,0.2,0.367,0,0.367,0.714,0.167,0,0.455,0
1996-1997,John Crotty\crottjo01,PG,27,MIA,48,0,13.7,1.6,3.2,0.4,1,1.2,2.2,1.1,1.3,0.844,4.8,0.513,13.5,0.682,0.461,0.052,0.071,0.097,0.318,0.562,0.606,0.125,0.091,0.933,0.408
1996-1997,Terry Cummings\cummite01,PF,35,SEA,45,3,18.4,3.4,7.1,0.1,0.1,3.4,7,1.3,1.8,0.695,8.2,0.486,11,0.984,0.285,0.197,0.288,0.213,0.016,0.484,0.549,0.46,0.424,0.5,0.6
1996-1997,Earl Cureton\curetea01,PF,39,TOR,9,0,5.1,0.3,0.9,0,0,0.3,0.9,0.1,0.3,0.333,0.8,0.375,8.2,1,0.625,0.25,0.125,0,0,0.375,0.4,0.5,0,0,0
1996-1997,Dell Curry\curryde01,SG,32,CHH,68,20,30.6,5.6,12.3,1.9,4.4,3.8,7.9,1.7,2.1,0.803,14.8,0.459,15.9,0.646,0.291,0.032,0.093,0.23,0.354,0.478,0.391,0.481,0.41,0.615,0.426
1996-1997,Michael Curry\currymi01,SG,28,DET,81,2,15,1.2,2.7,0.3,1,0.9,1.8,1.2,1.3,0.898,3.9,0.448,14.8,0.652,0.299,0.041,0.095,0.217,0.348,0.528,0.803,0.333,0.095,0.375,0.299
1996-1997,Erick Dampier\dampier01,C,21,IND,72,21,14.6,1.8,4.7,0,0,1.8,4.7,1.5,2.3,0.637,5.1,0.39,8.1,0.997,0.438,0.345,0.185,0.03,0.003,0.388,0.449,0.345,0.355,0.2,1
1996-1997,Lloyd Daniels\daniell01,SG,29,TOT,22,0,14.1,1.6,5.4,1,3.2,0.7,2.2,0.2,0.3,0.833,4.5,0.303,18.4,0.412,0.134,0.092,0.059,0.126,0.588,0.306,0.625,0,0.143,0.267,0.3
1996-1997,Sasha Danilovi?\danilsa01,SG,26,TOT,56,42,31.9,4.4,10.2,1.5,4.2,2.9,6,2.2,2.7,0.801,12.5,0.435,16.2,0.586,0.219,0.074,0.102,0.191,0.414,0.488,0.584,0.429,0.379,0.459,0.36
1996-1997,Yinka Dare\dareyi01,C,24,NJN,41,2,7.6,0.5,1.3,0,0,0.5,1.3,0.5,0.9,0.514,1.4,0.352,9.2,1,0.611,0.204,0.185,0,0,0.352,0.394,0.273,0.3,0,0
1996-1997,Antonio Davis\davisan01,PF,28,IND,82,28,28.5,3.8,7.8,0,0.2,3.7,7.6,2.9,4.4,0.666,10.5,0.48,9,0.978,0.551,0.162,0.167,0.1,0.022,0.49,0.544,0.433,0.393,0.453,0.071
1996-1997,Ben Davis\davisbe01,PF,24,PHO,20,0,4.9,0.5,1.3,0,0,0.5,1.3,0.5,1,0.45,1.5,0.385,9,1,0.5,0.308,0.192,0,0,0.385,0.308,0.5,0.4,0,0
1996-1997,Dale Davis\davisda01,PF,27,IND,80,76,32.4,4.6,8.6,0,0,4.6,8.6,1.2,2.7,0.428,10.4,0.538,7.2,1,0.533,0.259,0.189,0.019,0,0.538,0.624,0.506,0.338,0.538,0
1996-1997,Emanual Davis\davisem01,PG,28,HOU,13,0,17.7,1.8,4.2,0.9,2.1,0.9,2.1,0.4,0.6,0.625,5,0.444,16.3,0.5,0.352,0.037,0.056,0.056,0.5,0.444,0.526,0,0,0.667,0.444
1996-1997,Hubert Davis\davishu01,SG,26,TOR,36,0,17.3,2.1,5.1,0.4,1.9,1.6,3.2,0.5,0.6,0.739,5,0.402,17.7,0.62,0.136,0.06,0.092,0.332,0.38,0.509,0.36,0.455,0.353,0.623,0.229
1996-1997,Mark Davis\davisma02,SF,23,PHI,75,17,22.7,3.3,7.1,0.3,1.2,3,5.9,1.5,2.2,0.673,8.5,0.469,10.6,0.826,0.585,0.099,0.086,0.056,0.174,0.514,0.565,0.509,0.304,0.3,0.258
1996-1997,Todd Day\dayto01,SG,27,BOS,81,27,28.1,4.9,12.3,1.6,4.3,3.4,8,3.2,4.1,0.773,14.5,0.398,14.8,0.652,0.404,0.081,0.099,0.066,0.348,0.418,0.369,0.494,0.545,0.424,0.362
1996-1997,Andrew DeClercq\declean01,C,23,GSW,71,1,15,2,3.8,0,0,2,3.8,1.3,2.1,0.603,5.3,0.52,6.9,1,0.626,0.249,0.092,0.033,0,0.52,0.608,0.426,0.24,0.333,0
1996-1997,Terry Dehere\deherte01,PG,25,LAC,73,3,14.4,2,5.2,0.7,2.2,1.3,3.1,1.7,2,0.824,6.4,0.386,16.9,0.582,0.243,0.042,0.084,0.214,0.418,0.43,0.581,0.375,0.281,0.329,0.325
1996-1997,Vinny Del Negro\delnevi01,SG,30,SAS,72,53,31.2,5.1,10.8,0.6,1.9,4.5,8.9,1.6,1.8,0.868,12.3,0.467,15.4,0.821,0.123,0.099,0.251,0.348,0.179,0.501,0.51,0.468,0.413,0.57,0.314
1996-1997,Bison Dele\delebi01,C,27,CHI,9,0,15.3,2.9,7,0,0,2.9,7,1.2,1.7,0.733,7,0.413,9.4,1,0.365,0.317,0.238,0.079,0,0.413,0.391,0.6,0.333,0,0
1996-1997,Tony Delk\delkto01,PG,23,CHH,61,1,14.2,2,4.2,0.9,1.8,1.1,2.4,0.7,0.8,0.824,5.4,0.465,16.1,0.563,0.336,0.023,0.074,0.129,0.438,0.465,0.442,0.833,0.421,0.485,0.464
1996-1997,Dell Demps\dempsde01,SG,26,ORL,2,0,5,0,1.5,0,0.5,0,1,1,1,1,1,0,14.6,0.667,0.333,0.333,0,0,0.333,0,0,0,0,0,0
1996-1997,Vlade Divac*\divacvl01,C,28,CHH,81,80,35.1,5.2,10.5,0.1,0.6,5,9.9,2.2,3.2,0.683,12.6,0.494,9.6,0.945,0.622,0.116,0.077,0.13,0.055,0.509,0.526,0.51,0.369,0.509,0.234
1996-1997,Sherman Douglas\douglsh01,PG,30,MIL,79,79,29.3,3.9,7.7,0.5,1.4,3.4,6.3,1.4,2.2,0.667,9.7,0.502,11.8,0.813,0.451,0.108,0.115,0.139,0.187,0.54,0.636,0.409,0.371,0.471,0.333
1996-1997,Greg Dreiling\dreilgr01,C,34,DAL,40,3,9.7,0.9,1.9,0,0,0.8,1.8,0.3,0.7,0.407,2,0.459,9.8,0.986,0.311,0.243,0.378,0.054,0.014,0.452,0.522,0.5,0.357,0.5,1
1996-1997,Clyde Drexler*\drexlcl01,SG,34,HOU,62,62,36.6,6.4,14.5,1.9,5.4,4.5,9.1,3.2,4.3,0.75,18,0.442,14.6,0.627,0.349,0.059,0.079,0.14,0.373,0.493,0.58,0.396,0.324,0.413,0.355
1996-1997,Nate Driggers\driggna01,SG,23,BOS,15,0,8.8,0.9,2.9,0,0.6,0.9,2.3,0.7,0.9,0.714,2.4,0.302,12.1,0.791,0.581,0.093,0.093,0.023,0.209,0.382,0.4,0.5,0.25,0,0
1996-1997,Kevin Duckworth\duckwke01,C,32,LAC,26,22,14.8,1.7,4,0.1,0.2,1.6,3.8,0.4,0.6,0.688,4,0.437,10.5,0.961,0.272,0.359,0.194,0.136,0.039,0.424,0.393,0.459,0.3,0.571,0.75
1996-1997,Chris Dudley\dudlech02,C,31,POR,81,14,22.7,1.6,3.6,0,0,1.6,3.6,0.8,1.7,0.474,3.9,0.43,7.5,1,0.386,0.498,0.089,0.027,0,0.43,0.54,0.37,0.385,0.125,0
1996-1997,Joe Dumars*\dumarjo01,SG,33,DET,79,79,37,4.9,11.1,2.1,4.9,2.8,6.2,2.8,3.2,0.867,14.7,0.44,17.4,0.561,0.091,0.096,0.232,0.142,0.439,0.446,0.35,0.417,0.448,0.524,0.432
1996-1997,Tony Dumas\dumasto01,SG,24,TOT,24,1,11.6,1.4,4,0.2,1.2,1.2,2.8,0.7,1,0.64,3.6,0.344,14.3,0.708,0.302,0.073,0.115,0.219,0.292,0.426,0.483,0.429,0.455,0.333,0.143
1996-1997,Acie Earl\earlac01,C,26,TOT,47,0,10.6,1.4,3.8,0,0.1,1.4,3.7,1.1,1.8,0.643,4,0.372,9.6,0.972,0.278,0.35,0.283,0.056,0.028,0.383,0.42,0.492,0.255,0.2,0
1996-1997,Tyus Edney\edneyty01,PG,23,SAC,70,20,19.7,2.1,5.6,0.1,0.6,2,5,2.5,3.1,0.823,6.9,0.384,11.9,0.893,0.407,0.161,0.156,0.169,0.107,0.407,0.465,0.429,0.262,0.379,0.19
