Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,PTS,FG%,Dist.,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P
2014-2015,Phil Pressey\pressph01,PG,23,BOS,50,0,12,1.3,3.5,0.3,1.3,1,2.2,0.7,1,0.673,3.5,0.368,13.4,0.626,0.328,0.121,0.057,0.121,0.374,0.44,0.491,0.381,0.3,0.429,0.246
2014-2015,A.J. Price\priceaj01,PG,28,TOT,26,0,12.5,2,5.3,0.6,2.2,1.4,3.1,0.6,0.9,0.667,5.1,0.372,17.8,0.584,0.044,0.139,0.175,0.226,0.416,0.45,0.333,0.526,0.417,0.452,0.263
2014-2015,Ronnie Price\pricero01,PG,31,LAL,43,20,22.8,1.8,5.2,0.7,2.5,1.1,2.7,0.8,1,0.8,5.1,0.345,16.9,0.511,0.197,0.09,0.063,0.161,0.489,0.404,0.614,0.2,0.5,0.222,0.284
2014-2015,Pablo Prigioni\prigipa01,PG,37,TOT,67,3,17.9,1.4,3.4,0.9,2.5,0.5,0.9,0.5,0.6,0.854,4.1,0.399,20.5,0.272,0.118,0.048,0.053,0.053,0.728,0.548,0.63,0.364,0.5,0.583,0.343
2014-2015,Tayshaun Prince\princta01,SF,34,TOT,58,16,24.1,3.1,6.9,0.5,1.2,2.5,5.8,0.8,1.1,0.754,7.5,0.44,13.6,0.833,0.177,0.149,0.157,0.351,0.167,0.436,0.592,0.333,0.365,0.433,0.463
2014-2015,Miroslav Raduljica\radulmi01,C,27,MIN,5,0,4.6,0.6,1.6,0,0,0.6,1.6,0.4,0.4,1,1.6,0.375,4.4,1,0.25,0.625,0.125,0,0,0.375,0.5,0.4,0,0,0
2014-2015,Julius Randle\randlju01,PF,20,LAL,1,0,14,1,3,0,0,1,3,0,2,0,2,0.333,9,1,0.333,0.333,0,0.333,0,0.333,0,1,0,0,0
2014-2015,Shavlik Randolph\randosh01,PF,31,TOT,21,0,6,0.4,1.7,0,0.2,0.4,1.4,0.3,0.6,0.5,1.1,0.257,8,0.857,0.286,0.486,0.029,0.057,0.143,0.3,0.5,0.118,1,0.5,0
2014-2015,Zach Randolph\randoza01,PF,33,MEM,71,71,32.5,6.4,13.1,0.1,0.3,6.3,12.8,3.2,4.2,0.765,16.1,0.487,7.2,0.979,0.409,0.282,0.122,0.165,0.021,0.49,0.646,0.403,0.325,0.377,0.35
2014-2015,J.J. Redick\redicjj01,SG,30,LAC,78,78,30.9,5.7,12,2.6,5.9,3.2,6.2,2.3,2.6,0.901,16.4,0.477,19,0.512,0.091,0.049,0.068,0.304,0.488,0.515,0.624,0.413,0.469,0.509,0.437
2014-2015,Glen Rice Jr.\ricegl02,SG,24,WAS,5,0,8.6,0.6,3,0.2,1.4,0.4,1.6,0.8,1.2,0.667,2.2,0.2,14.7,0.533,0.2,0.2,0.067,0.067,0.467,0.25,0.667,0,0,0,0.143
2014-2015,Jason Richardson\richaja01,SG,34,PHI,19,15,21.9,3.3,9.4,1.6,5.1,1.6,4.3,0.9,1.2,0.773,9.1,0.348,17.6,0.461,0.163,0.073,0.09,0.135,0.539,0.378,0.483,0.462,0.313,0.25,0.323
2014-2015,Luke Ridnour\ridnolu01,PG,33,ORL,47,0,14.5,1.6,3.7,0.4,1.3,1.2,2.4,0.4,0.4,0.857,4,0.426,17.6,0.642,0.085,0.091,0.097,0.369,0.358,0.487,0.467,0.25,0.471,0.554,0.317
2014-2015,Austin Rivers\riverau01,PG,22,TOT,76,5,20.6,2.7,6.5,0.5,1.7,2.2,4.8,1.1,1.7,0.675,7,0.409,11.4,0.736,0.29,0.236,0.081,0.129,0.264,0.449,0.59,0.41,0.275,0.313,0.298
2014-2015,Andre Roberson\roberan03,SG,23,OKC,67,65,19.2,1.4,3,0.3,1.3,1.1,1.7,0.3,0.7,0.479,3.4,0.458,11,0.577,0.507,0.055,0.01,0.005,0.423,0.612,0.667,0.182,0.5,0,0.247
2014-2015,Brian Roberts\roberbr01,PG,29,CHO,72,10,18.5,2.4,6.3,0.9,2.7,1.6,3.6,0.9,1,0.892,6.7,0.389,18.1,0.573,0.1,0.084,0.108,0.281,0.427,0.44,0.511,0.421,0.408,0.433,0.321
2014-2015,Glenn Robinson III\robingl02,SG,21,TOT,35,1,7.5,0.7,1.9,0.1,0.5,0.6,1.4,0.5,0.7,0.667,2.1,0.388,12.8,0.716,0.254,0.179,0.09,0.194,0.284,0.438,0.706,0.25,0.5,0.231,0.263
2014-2015,Nate Robinson\robinna01,PG,30,TOT,42,1,14.1,2.1,6.1,0.7,2.7,1.4,3.4,0.7,1.1,0.674,5.7,0.345,16.7,0.561,0.153,0.102,0.106,0.2,0.439,0.399,0.513,0.346,0.481,0.294,0.277
2014-2015,Thomas Robinson\robinth01,PF,23,TOT,54,4,14.8,2.3,4.8,0,0,2.3,4.8,1,2,0.528,5.7,0.485,5.5,0.992,0.565,0.204,0.092,0.131,0.008,0.488,0.592,0.453,0.25,0.265,0
2014-2015,Rajon Rondo\rondora01,PG,28,TOT,68,68,29.7,4,9.5,0.4,1.3,3.6,8.2,0.5,1.1,0.397,8.9,0.426,10.9,0.867,0.309,0.205,0.06,0.293,0.133,0.444,0.633,0.348,0.385,0.323,0.314
2014-2015,Derrick Rose\rosede01,PG,26,CHI,51,51,30,6.6,16.4,1.5,5.3,5.1,11.1,3,3.7,0.813,17.7,0.405,13.6,0.675,0.262,0.154,0.104,0.154,0.325,0.465,0.553,0.519,0.287,0.38,0.28
2014-2015,Terrence Ross\rosste01,SF,23,TOR,82,61,25.5,3.8,9.2,1.8,4.8,2,4.4,0.5,0.7,0.786,9.8,0.41,17.5,0.482,0.134,0.094,0.104,0.15,0.518,0.452,0.584,0.324,0.423,0.434,0.372
2014-2015,Ricky Rubio\rubiori01,PG,24,MIN,22,22,31.5,3.5,10,0.6,2.3,3,7.6,2.6,3.2,0.803,10.3,0.356,16.1,0.767,0.178,0.014,0.1,0.475,0.233,0.387,0.333,0,0.455,0.404,0.255
2014-2015,Damjan Rudež\rudezda01,SF,28,IND,68,2,15.4,1.8,3.9,1,2.5,0.7,1.4,0.2,0.3,0.696,4.8,0.452,20.2,0.354,0.095,0.023,0.042,0.194,0.646,0.538,0.64,0.333,0.545,0.51,0.406
2014-2015,Brandon Rush\rushbr01,SG,29,GSW,33,0,8.2,0.3,1.6,0.1,0.8,0.2,0.8,0.2,0.3,0.455,0.9,0.204,17.5,0.5,0.167,0.093,0.056,0.185,0.5,0.296,0.333,0.4,0,0.3,0.111
2014-2015,Robert Sacre\sacrero01,C,25,LAL,67,18,16.9,1.9,4.6,0,0,1.9,4.6,0.8,1.2,0.671,4.6,0.412,9.9,0.997,0.157,0.301,0.297,0.242,0.003,0.413,0.646,0.348,0.352,0.419,0
2014-2015,John Salmons\salmojo01,SF,35,NOP,21,0,12.9,0.8,2.3,0.4,1.2,0.4,1,0.1,0.2,0.5,2,0.333,19.4,0.458,0.042,0.063,0.146,0.208,0.542,0.364,0.5,0.333,0.571,0.2,0.308
2014-2015,JaKarr Sampson\sampsja02,SF,21,PHI,74,32,15.3,2,4.7,0.4,1.7,1.6,3,0.9,1.3,0.67,5.2,0.422,11.4,0.633,0.373,0.188,0.046,0.029,0.367,0.525,0.643,0.4,0.25,0.2,0.244
2014-2015,Larry Sanders\sandela01,C,26,MIL,27,26,21.7,3.2,6.4,0,0,3.2,6.4,0.9,1.8,0.5,7.3,0.5,2.4,1,0.733,0.174,0.076,0.017,0,0.5,0.579,0.267,0.385,0,0
2014-2015,Dennis Schröder\schrode01,PG,21,ATL,77,10,19.7,3.7,8.6,0.7,1.9,3,6.7,1.9,2.3,0.827,10,0.427,10.9,0.777,0.379,0.155,0.066,0.177,0.223,0.449,0.544,0.34,0.341,0.381,0.351
2014-2015,Luis Scola\scolalu01,PF,34,IND,81,16,20.5,3.7,7.9,0.1,0.2,3.6,7.7,2,2.8,0.699,9.4,0.467,9.4,0.969,0.375,0.181,0.069,0.343,0.031,0.474,0.61,0.388,0.318,0.4,0.25
